id,x_true,y_true
id_visible_anchor_00,710.0,480.0
id_visible_anchor_01,505.0,293.0
id_visible_anchor_02,760.0,663.0
id_visible_anchor_03,357.0,496.0
id_visible_anchor_04,297.0,261.0
id_visible_anchor_05,501.0,359.0
id_visible_anchor_06,623.0,366.0
id_visible_anchor_07,600.0,594.0
id_visible_anchor_08,534.0,313.0
id_visible_anchor_09,343.0,202.0
id_visible_anchor_10,184.0,775.0
id_visible_anchor_11,476.0,310.0
id_visible_anchor_12,274.0,327.0
id_visible_anchor_13,803.0,613.0
id_visible_anchor_14,803.0,762.0
id_visible_anchor_15,417.0,593.0
id_visible_anchor_16,181.0,403.0
id_visible_anchor_17,654.0,811.0
id_visible_anchor_18,769.0,745.0
id_visible_anchor_19,485.0,478.0
