id,reference,search
ood_visible_anchor_00,ood_visible_anchor_00_reference.npy,ood_visible_anchor_00_search.npy
ood_visible_anchor_01,ood_visible_anchor_01_reference.npy,ood_visible_anchor_01_search.npy
ood_visible_anchor_02,ood_visible_anchor_02_reference.npy,ood_visible_anchor_02_search.npy
ood_visible_anchor_03,ood_visible_anchor_03_reference.npy,ood_visible_anchor_03_search.npy
ood_visible_anchor_04,ood_visible_anchor_04_reference.npy,ood_visible_anchor_04_search.npy
ood_visible_anchor_05,ood_visible_anchor_05_reference.npy,ood_visible_anchor_05_search.npy
ood_visible_anchor_06,ood_visible_anchor_06_reference.npy,ood_visible_anchor_06_search.npy
ood_visible_anchor_07,ood_visible_anchor_07_reference.npy,ood_visible_anchor_07_search.npy
ood_visible_anchor_08,ood_visible_anchor_08_reference.npy,ood_visible_anchor_08_search.npy
ood_visible_anchor_09,ood_visible_anchor_09_reference.npy,ood_visible_anchor_09_search.npy
